cleaner__getlemmatisation,cleaner__removedigit,svm__C,svm__gamma,svm__kernel,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,10.0,1.0,rbf,True,english,0.7460784137430844
False,True,1.0,1.0,rbf,False,,0.7460634286981592
True,False,1.0,1.0,rbf,True,,0.7450654247061433
True,False,1.0,1.0,sigmoid,True,,0.7450534366702031
True,True,1.0,1.0,sigmoid,False,,0.7450474426522331
True,True,10.0,1.0,rbf,False,english,0.7440854027680376
True,False,10.0,1.0,rbf,False,english,0.7440794087500674
True,True,1.0,1.0,rbf,False,,0.7440794087500674
True,True,1.0,0.1,linear,True,english,0.744043444642247
True,True,10.0,0.1,sigmoid,True,english,0.744043444642247
True,True,1.0,1.0,linear,True,english,0.744043444642247
True,True,1.0,0.01,linear,True,english,0.744043444642247
True,True,1.0,0.001,linear,True,english,0.744043444642247
False,False,1.0,1.0,rbf,True,,0.7430634227041413
False,False,1.0,1.0,rbf,False,,0.7430604256951563
True,False,1.0,0.001,linear,True,english,0.743048437659216
True,False,1.0,0.01,linear,True,english,0.743048437659216
True,False,1.0,0.1,linear,True,english,0.743048437659216
True,False,1.0,1.0,linear,True,english,0.743048437659216
True,False,10.0,0.1,sigmoid,True,english,0.7420474366582152
True,False,1.0,1.0,sigmoid,False,,0.7410554266841691
True,False,1.0,1.0,rbf,False,,0.7400724077370784
True,True,10.0,1.0,rbf,True,english,0.7400694107280934
True,True,10.0,1.0,poly,True,,0.7390803977630324
False,True,1.0,1.0,rbf,False,english,0.7380943818069566
True,False,10.0,1.0,rbf,True,english,0.7380674087260913
False,True,10.0,1.0,poly,False,,0.7370843897790005
False,True,10.0,1.0,poly,True,,0.7360714007420595
True,True,1.0,1.0,rbf,False,english,0.7350883817949686
True,False,10.0,1.0,poly,True,,0.7350823877769986
True,True,1.0,1.0,sigmoid,True,english,0.7350554146961333
False,False,10.0,1.0,poly,True,,0.7340753927580276
False,False,1.0,1.0,rbf,False,english,0.7320913728099357
True,True,10.0,1.0,poly,False,,0.7320883758009508
True,True,1.0,1.0,rbf,True,english,0.7320733907560255
True,False,1.0,1.0,sigmoid,True,english,0.7320524116931303
False,True,1.0,1.0,rbf,True,english,0.7310903718089348
True,False,10.0,1.0,poly,False,,0.7300893708079337
True,False,1.0,1.0,rbf,False,english,0.7300863737989486
False,False,10.0,1.0,poly,False,,0.7290793787799776
True,False,1.0,1.0,rbf,True,english,0.7290733847620076
False,False,1.0,1.0,rbf,True,english,0.7260883638129147
True,False,1.0,1.0,poly,True,,0.7240803677929426
True,True,1.0,1.0,poly,True,,0.7230763697829566
False,True,1.0,1.0,poly,True,,0.7220723717729706
False,False,1.0,1.0,poly,True,,0.7220693747639855
False,False,1.0,1.0,poly,False,,0.7190813568059077
False,True,1.0,1.0,poly,False,,0.7190813568059076
True,True,1.0,1.0,poly,False,,0.7130783478088868
True,False,1.0,1.0,poly,False,,0.7090773408138679
False,True,10.0,1.0,poly,True,english,0.6890633148118178
True,True,10.0,1.0,poly,False,english,0.6870673068277858
False,False,10.0,1.0,poly,True,english,0.6870673068277858
False,True,10.0,1.0,poly,False,english,0.6870673068277858
True,False,10.0,1.0,poly,False,english,0.685068301834769
False,False,10.0,1.0,poly,False,english,0.6850623078167987
True,False,10.0,1.0,poly,True,english,0.680063296829764
True,True,10.0,1.0,poly,True,english,0.6800632968297639
True,True,1.0,1.0,poly,False,english,0.6800632968297639
True,False,1.0,1.0,poly,False,english,0.6790622958287629
False,True,1.0,1.0,poly,True,english,0.6790592988197778
False,True,10.0,0.01,rbf,False,,0.678073282863702
True,True,1.0,1.0,poly,True,english,0.6780612948277619
False,False,1.0,1.0,poly,True,english,0.6770572968177758
True,False,1.0,1.0,poly,True,english,0.6760592928257599
False,True,10.0,0.01,rbf,True,,0.6750822678966392
False,False,10.0,0.01,rbf,True,,0.6730832629036222
True,False,10.0,0.01,rbf,True,,0.6730832629036222
False,True,1.0,0.1,rbf,False,,0.6730772688856521
True,True,10.0,0.01,rbf,True,,0.6720822619026213
False,False,10.0,0.01,rbf,False,,0.672076267884651
False,True,1.0,1.0,poly,False,english,0.6710572848297399
False,False,1.0,0.1,rbf,False,,0.6700802599006193
False,True,1.0,0.1,rbf,True,,0.6690822559086032
True,True,1.0,0.1,rbf,True,,0.6680842519165872
True,False,1.0,0.1,rbf,True,,0.6680842519165872
False,False,1.0,0.1,rbf,True,,0.6680812549076022
False,False,1.0,1.0,poly,False,english,0.667053280825736
True,False,10.0,0.01,rbf,False,,0.6660882439325553
False,True,10.0,0.01,rbf,False,english,0.6641012269754785
False,False,10.0,0.01,rbf,False,english,0.6640982299664935
False,True,10.0,0.01,rbf,True,english,0.6640862419305532
True,True,1.0,0.1,rbf,False,,0.6630822439205674
True,False,1.0,0.1,rbf,False,,0.6620902339465213
True,True,10.0,0.01,rbf,False,,0.6620842399285514
False,False,10.0,0.01,rbf,True,english,0.6600852349355343
False,True,1.0,0.1,rbf,True,english,0.6590812369255482
False,False,1.0,0.1,rbf,True,english,0.6560872249495004
False,True,1.0,0.1,rbf,False,english,0.6520892149634665
True,True,10.0,0.01,rbf,True,english,0.6480942019864177
True,False,1.0,0.1,rbf,True,english,0.6471021920123716
True,False,10.0,0.01,rbf,True,english,0.6470932009854166
False,False,1.0,0.1,rbf,False,english,0.6470872069674466
True,False,10.0,0.01,rbf,False,english,0.6441141740542938
True,True,10.0,0.01,rbf,False,english,0.6431131730532927
True,True,1.0,0.1,rbf,True,english,0.6430921939903976
True,False,1.0,0.1,rbf,False,english,0.6371071670472869
True,True,1.0,0.1,rbf,False,english,0.6301001600402798
False,True,0.1,0.1,linear,True,,0.6020391649134164
False,True,1.0,0.1,sigmoid,True,,0.6020391649134164
False,True,0.1,0.01,linear,True,,0.6020391649134164
False,True,0.1,1.0,linear,True,,0.6020391649134164
False,True,10.0,0.01,sigmoid,True,,0.6020391649134164
False,True,0.1,0.001,linear,True,,0.6020391649134164
False,False,0.1,0.001,linear,True,,0.5950411489333645
False,False,10.0,0.01,sigmoid,True,,0.5950411489333645
False,False,0.1,0.1,linear,True,,0.5950411489333645
False,False,1.0,0.1,sigmoid,True,,0.5950411489333645
False,False,0.1,0.01,linear,True,,0.5950411489333645
False,False,0.1,1.0,linear,True,,0.5950411489333645
False,True,10.0,0.01,sigmoid,False,,0.5930421439403475
False,True,1.0,0.1,sigmoid,False,,0.5930421439403475
False,True,0.1,0.001,linear,False,,0.5930421439403475
False,True,0.1,0.1,linear,False,,0.5930421439403475
False,True,0.1,0.01,linear,False,,0.5930421439403475
False,True,0.1,1.0,linear,False,,0.5930421439403475
True,True,0.1,0.01,linear,False,,0.5910341479203755
True,True,0.1,0.001,linear,False,,0.5910341479203755
True,True,0.1,0.1,linear,False,,0.5910341479203755
True,True,10.0,0.01,sigmoid,False,,0.5910341479203755
True,True,1.0,0.1,sigmoid,False,,0.5910341479203755
True,True,0.1,1.0,linear,False,,0.5910341479203755
True,False,10.0,0.01,sigmoid,False,,0.5900361439283595
True,False,0.1,1.0,linear,False,,0.5900361439283595
True,False,0.1,0.1,linear,False,,0.5900361439283595
True,False,0.1,0.01,linear,False,,0.5900361439283595
True,False,0.1,0.001,linear,False,,0.5900361439283595
True,False,1.0,0.1,sigmoid,False,,0.5900361439283595
False,True,0.1,1.0,sigmoid,False,,0.5880311449173724
False,False,0.1,0.1,linear,False,,0.5870421319523116
False,False,0.1,0.001,linear,False,,0.5870421319523116
False,False,10.0,0.01,sigmoid,False,,0.5870421319523116
False,False,0.1,0.01,linear,False,,0.5870421319523116
False,False,0.1,1.0,linear,False,,0.5870421319523116
True,True,1.0,0.1,sigmoid,True,,0.5870361379343415
False,False,1.0,0.1,sigmoid,False,,0.5860411309513105
True,True,0.1,0.001,linear,True,,0.5860351369333405
True,True,0.1,1.0,linear,True,,0.5860351369333405
True,True,10.0,0.01,sigmoid,True,,0.5860351369333405
True,True,0.1,0.01,linear,True,,0.5860351369333405
True,True,0.1,0.1,linear,True,,0.5860351369333405
True,False,0.1,0.001,linear,True,,0.5830381279483076
True,False,0.1,0.1,linear,True,,0.5830381279483076
True,False,0.1,1.0,linear,True,,0.5830381279483076
True,False,10.0,0.01,sigmoid,True,,0.5830381279483076
True,False,0.1,0.01,linear,True,,0.5830381279483076
False,False,0.1,1.0,sigmoid,False,,0.5830261399123674
True,False,1.0,0.1,sigmoid,True,,0.5820401239562916
False,True,0.1,1.0,sigmoid,True,,0.5800411189632747
False,False,0.1,1.0,sigmoid,True,,0.5770441099782417
True,True,0.1,1.0,sigmoid,False,,0.5740291189392986
True,False,0.1,1.0,sigmoid,True,,0.5720480960001918
True,False,0.1,1.0,sigmoid,False,,0.5720421019822217
True,True,0.1,1.0,sigmoid,True,,0.5700400999802198
False,True,0.1,0.01,linear,False,english,0.5690510870151589
False,True,10.0,0.01,sigmoid,False,english,0.5690510870151589
False,True,0.1,0.001,linear,False,english,0.5690510870151589
False,True,0.1,0.1,linear,False,english,0.5690510870151589
False,True,1.0,0.1,sigmoid,False,english,0.5690510870151589
False,True,0.1,1.0,linear,False,english,0.5690510870151589
False,False,0.1,1.0,sigmoid,False,english,0.5660510810211409
False,False,1.0,0.1,sigmoid,False,english,0.5660510810211409
