cleaner__getlemmatisation,cleaner__removedigit,lr__C,lr__penalty,lr__solver,tfidf__lowercase,tfidf__stop_words,accuracy
True,True,100.0,l2,lbfgs,True,english,0.42333333333333334
False,True,0.1,l2,lbfgs,True,english,0.42333333333333334
False,True,0.1,l2,newton-cg,True,english,0.42333333333333334
True,True,0.01,l2,newton-cg,True,english,0.42333333333333334
False,True,0.01,l2,lbfgs,True,english,0.4216666666666667
False,True,0.01,l2,newton-cg,True,english,0.4216666666666667
True,True,0.01,l2,lbfgs,True,english,0.42166666666666663
True,False,0.01,l2,lbfgs,True,english,0.42
True,False,0.01,l2,newton-cg,True,english,0.42
True,False,0.01,l2,liblinear,False,,0.3833333333333333
True,True,0.01,l2,liblinear,True,,0.3833333333333333
True,True,0.01,l2,liblinear,False,,0.38166666666666665
True,False,0.01,l2,liblinear,True,,0.38000000000000006
False,False,0.01,l2,liblinear,True,,0.37833333333333335
False,True,0.01,l2,liblinear,True,,0.37833333333333324
False,False,0.01,l2,liblinear,False,,0.36999999999999994
False,True,0.01,l2,liblinear,False,,0.36833333333333335
